Datasets,Model,L2Gaussian,LinfFGSM,LinfPGD,LinfBIM,L2CarliniWagner,L2DeepFool
Adult,LogisticRegression,1,0.3,0.3,0.3,0.5,1
Adult,MLP,0.5,1,1,1,0.01,1
Adult,TabTransformer,0.5,1,0.5,0.5,0.01,1
Adult,FTTransformer,1,0.3,0.5,0.5,1,1
Electricity,LogisticRegression,1,0.3,0.3,0.3,1,0.5
Electricity,MLP,1,0.1,0.1,0.1,0.3,0.3
Electricity,TabTransformer,1,0.1,0.1,0.1,0.3,0.3
Electricity,FTTransformer,1,0.1,0.1,0.1,0.3,0.3
Compas,LogisticRegression,0.5,0.3,0.3,0.3,0.1,1
Compas,MLP,0.3,0.5,0.5,0.5,1,1
Compas,TabTransformer,1,0.3,0.3,0.3,0.1,0.5
Compas,FTTransformer,0.05,0.3,1,0.3,0.01,0.5
Higgs,LogisticRegression,1,0.05,0.05,0.05,0.3,0.1
Higgs,MLP,1,0.05,0.05,0.05,0.3,0.1
Higgs,TabTransformer,1,0.05,0.05,0.05,0.3,0.1
Higgs,FTTransformer,1,0.05,0.05,0.05,0.3,0.1
BankMarketing_num,LogisticRegression,0.01,1,1,1,0.5,0.01
BankMarketing_num,MLP,1,0.1,0.1,0.1,0.5,0.3
BankMarketing_num,TabTransformer,1,0.5,0.3,0.3,0.5,0.5
BankMarketing_num,FTTransformer,1,0.1,0.1,0.1,0.01,0.3
house_16H,LogisticRegression,0.01,0.3,0.3,0.3,1,1
house_16H,MLP,1,0.1,0.1,0.1,0.5,0.3
house_16H,TabTransformer,1,0.3,0.3,0.3,0.5,0.5
house_16H,FTTransformer,1,0.1,0.1,0.1,1,0.5
jm1,LogisticRegression,0.01,0.5,0.5,0.5,0.01,1
jm1,MLP,1,0.1,0.1,0.1,0.5,0.5
jm1,TabTransformer,1,0.3,0.3,0.3,0.3,0.5
jm1,FTTransformer,1,0.3,0.3,0.3,0.5,0.5
BreastCancer,LogisticRegression,1,0.3,0.3,0.3,1,1
BreastCancer,MLP,1,0.3,0.3,0.3,1,1
BreastCancer,TabTransformer,1,0.3,0.5,0.5,1,1
BreastCancer,FTTransformer,1,0.3,1,0.1,1,0.5
WineQuality-White,LogisticRegression,1,0.3,0.5,0.3,1,1
WineQuality-White,MLP,1,0.3,0.3,0.3,0.5,0.5
WineQuality-White,TabTransformer,1,0.3,0.3,0.3,0.5,0.5
WineQuality-White,FTTransformer,1,0.3,0.5,0.3,1,1
WineQuality-Red,LogisticRegression,1,0.3,0.3,0.3,1,0.5
WineQuality-Red,MLP,1,0.3,0.3,0.3,0.5,0.5
WineQuality-Red,TabTransformer,1,0.3,0.5,0.3,0.5,0.5
WineQuality-Red,FTTransformer,1,0.3,0.3,0.3,1,0.5
phoneme,LogisticRegression,1,0.5,1,0.5,0.01,1
phoneme,MLP,1,0.3,0.3,0.3,1,1
phoneme,TabTransformer,1,1,1,0.3,1,1
phoneme,FTTransformer,1,1,0.5,0.3,0.5,1
MiniBooNE,LogisticRegression,1,0.1,0.3,0.1,0.1,0.3
MiniBooNE,MLP,1,0.1,0.1,0.1,0.1,0.3
MiniBooNE,TabTransformer,1,0.05,0.05,0.05,0.1,0.3
MiniBooNE,FTTransformer,1,0.1,0.3,0.1,0.1,0.5
