dataset,model,attack,attack_success_rates,l0_distances,l1_distances,l2_distances,linf_distances,mahalanobis_distances,sensitivity,outliner_rates,epsilons
Adult,LogisticRegression,L2Gaussian,0.1962229387379088,54.77073552425665,0.24736283558635086,0.716037049493133,4.250594299537289,2.845916563363068,0.07964906789339112,0.20109546165884193,1.0
Adult,LogisticRegression,LinfFGSM,0.9996929218486105,45.031485178927966,0.3000000156147508,1.9564633919994616,13.332932450917436,6.461550740381431,0.1324224120434794,0.9986177238519429,0.3
Adult,LogisticRegression,LinfPGD,0.9996929218486105,45.031485178927966,0.3000000144933303,1.9459641904915885,13.248288054269244,6.289253732274209,0.1324224113877917,0.9980033788972508,0.3
Adult,LogisticRegression,LinfBIM,0.9996929218486105,45.031485178927966,0.3000000156147508,1.9564633919994616,13.332932450917436,6.461550740381431,0.1324224120434794,0.9986177238519429,0.3
Adult,LogisticRegression,L2CarliniWagner,0.19545524335943498,104.815396700707,0.0253701618582139,0.03818496363004768,0.07226923316679104,2.2374974768521874,0.004228812310383089,0.14218381775333858,0.5
Adult,LogisticRegression,L2DeepFool,0.8334101028711807,34.355563743551954,0.1825286121045956,0.4113416766837739,1.8891326372202675,4.115557247004734,0.08938635627419392,0.523581429624171,1.0
Adult,MLP,L2Gaussian,0.2207891908490711,54.540333796940196,0.12417669615012714,0.3587233045958345,2.1257900338676943,2.422650330551158,0.040136367410307384,0.1376912378303199,0.5
Adult,MLP,LinfFGSM,0.6304314448027023,5.59157330735509,0.9193684334761911,1.7042775462661437,3.853392994293514,18.039128067757705,2.8704280956338453,1.0,1.0
Adult,MLP,LinfPGD,0.831874712114233,55.12624584717608,0.9948583250447981,4.417380400186273,28.631458303593057,17.36193290496623,0.3184794001377522,1.0,1.0
Adult,MLP,LinfBIM,0.6304314448027023,5.59157330735509,0.9193684334761911,1.7042775462661437,3.853392994293514,18.039128067757705,2.8704280956338453,1.0,1.0
Adult,MLP,L2CarliniWagner,0.24120988791647474,104.73583704646722,5.066962432493305e-07,5.091219988880107e-06,5.173912692167704e-05,2.507065489750395,8.467319730915462e-08,0.15977084659452578,0.01
Adult,MLP,L2DeepFool,0.41409488714877934,3.5628476084538376,0.2897526827608631,0.36242491660046044,0.6756166691406591,5.586746982290903,0.8500209202198985,0.5650723025583982,1.0
Adult,TabTransformer,L2Gaussian,0.21802548748656533,54.91549295774648,0.12454255019694986,0.3608027036760894,2.147003849795167,2.4491294895816442,0.03999491218267612,0.14507042253521127,0.5
Adult,TabTransformer,LinfFGSM,0.5235682481191464,5.10117302052786,0.9667607385042476,1.4883601893252991,3.029888522834722,16.103599155330272,3.3688746922176955,1.0,1.0
Adult,TabTransformer,LinfPGD,0.7415937356057116,55.57432712215321,0.49650893095981014,2.176122678288762,14.087379412818892,8.467316304091808,0.15764687119618706,1.0,0.5
Adult,TabTransformer,LinfBIM,0.5725472132657762,5.562080986859748,0.4680088084659617,0.8131165135702776,1.748635210678257,8.512304152172542,1.4862262496170777,1.0,0.5
